gene,set_name,functional_group,figure_panels
AICDA,High_Mutation,AID_related,"Figure5C;Figure5D;FigureS11A;FigureS12C;FigureS12D"
CBX5,High_Mutation,Open_chromatin_and_histone_variants,"Figure5C;Figure5D;FigureS11A;FigureS12C;FigureS12D"
H2AFY,High_Mutation,Open_chromatin_and_histone_variants,"Figure5C;Figure5D;FigureS11A;FigureS12C;FigureS12D"
HMGN3,High_Mutation,Open_chromatin_and_histone_variants,"Figure5C;Figure5D;FigureS11A;FigureS12C;FigureS12D"
NAP1L1,High_Mutation,Open_chromatin_and_histone_variants,"Figure5C;Figure5D;FigureS11A;FigureS12C;FigureS12D"
POLR2F,High_Mutation,AID_related,"Figure5C;Figure5D;FigureS11A;FigureS12C;FigureS12D"
DHX38,High_Mutation,AID_related,"Figure5C;Figure5D;FigureS11A;FigureS12C;FigureS12D"
LYN,High_Mutation,AID_related,"Figure5C;Figure5D;FigureS11A;FigureS12C;FigureS12D"
EAF2,High_Mutation,G1S_cell_cycle_regulation,"Figure5C;Figure5D;FigureS11A;FigureS12C;FigureS12D"
CDC6,High_Mutation,G1S_cell_cycle_regulation,"Figure5C;Figure5D;FigureS11A;FigureS12C;FigureS12D"
STAG1,High_Mutation,G1S_cell_cycle_regulation,"Figure5C;Figure5D;FigureS11A;FigureS12C;FigureS12D"
NEK9,High_Mutation,G1S_cell_cycle_regulation,"Figure5C;Figure5D;FigureS11A;FigureS12C;FigureS12D"
ORC4,High_Mutation,G1S_cell_cycle_regulation,"Figure5C;Figure5D;FigureS11A;FigureS12C;FigureS12D"
LMNB1,High_Mutation,G1S_cell_cycle_regulation,"Figure5C;Figure5D;FigureS11A;FigureS12C;FigureS12D"
MDM4,High_Mutation,DNA_damage_repair,"Figure5C;Figure5D;FigureS11A;FigureS12C;FigureS12D"
NIBAN1,High_Mutation,DNA_damage_repair,"Figure5C;Figure5D;FigureS11A;FigureS12C;FigureS12D"
POU2F2,Low_Mutation,AID_related,"Figure5C;Figure5D;FigureS11A;FigureS12C;FigureS12D"
POLR2H,Low_Mutation,AID_related,"Figure5C;Figure5D;FigureS11A;FigureS12C;FigureS12D"
SNRPB,Low_Mutation,RNA_splicing_elongation,"Figure5C;Figure5D;FigureS11A;FigureS12C;FigureS12D"
RFX5,Low_Mutation,RNA_splicing_elongation,"Figure5C;Figure5D;FigureS11A;FigureS12C;FigureS12D"
CSK,Low_Mutation,RNA_splicing_elongation,"Figure5C;Figure5D;FigureS11A;FigureS12C;FigureS12D"
CHEK2,Low_Mutation,DNA_damage_repair,"Figure5C;Figure5D;FigureS11A;FigureS12C;FigureS12D"
RNASEH2A,Low_Mutation,DNA_damage_repair,"Figure5C;Figure5D;FigureS11A;FigureS12C;FigureS12D"
PLK1,Low_Mutation,Cell_cycle_regulation,"Figure5C;Figure5D;FigureS11A;FigureS12C;FigureS12D"
CDK4,Low_Mutation,Cell_cycle_regulation,"Figure5C;Figure5D;FigureS11A;FigureS12C;FigureS12D"
MTHFD1,Low_Mutation,Cell_cycle_regulation,"Figure5C;Figure5D;FigureS11A;FigureS12C;FigureS12D"
